,pobl_jardin,pobl_primaria,pobl_secundaria,pobl_total
420,1050.0,1949.0,1140.0,12498.0
421,5891.0,11826.0,7207.0,72879.0
422,9714.0,19136.0,11849.0,136582.0
423,6761.0,13330.0,7999.0,101334.0
424,1272.0,2479.0,1442.0,15037.0
425,4566.0,8810.0,5316.0,62697.0
426,2340.0,4389.0,2782.0,27188.0
427,509.0,969.0,590.0,6454.0
428,635.0,1100.0,655.0,8425.0
429,1877.0,3415.0,2234.0,20824.0
430,553.0,1007.0,616.0,6674.0
431,1662.0,3111.0,2084.0,23653.0
432,355.0,740.0,452.0,5575.0
433,958.0,1932.0,1381.0,16044.0
434,1565.0,3123.0,2137.0,26522.0
435,9726.0,19413.0,12765.0,148671.0
436,1034.0,1957.0,1295.0,14334.0
437,2261.0,4836.0,3314.0,40289.0
438,15935.0,32667.0,22532.0,260769.0
439,247.0,525.0,366.0,4691.0
440,1183.0,2222.0,1308.0,15035.0
441,8494.0,18378.0,11452.0,126266.0
442,8362.0,18603.0,11651.0,137309.0
443,1672.0,3820.0,2237.0,25384.0
444,1003.0,1911.0,992.0,12584.0
445,894.0,1955.0,1144.0,12828.0
446,450.0,1009.0,541.0,6271.0
447,2943.0,5557.0,3601.0,48544.0
448,4857.0,9403.0,5920.0,86261.0
449,12075.0,23610.0,14588.0,189464.0
450,5501.0,10662.0,7055.0,93000.0
451,1944.0,3325.0,1799.0,24853.0
452,12060.0,23588.0,14619.0,200455.0
453,14047.0,25552.0,15808.0,197533.0
454,4629.0,8881.0,5147.0,73636.0
455,34563.0,68552.0,41916.0,568259.0
456,6838.0,13409.0,8397.0,114730.0
457,2198.0,4158.0,2737.0,30942.0
458,78980.0,155833.0,92300.0,1337958.0
459,4804.0,9376.0,5805.0,72593.0
460,2500.0,4587.0,2450.0,33180.0
461,5376.0,10417.0,6251.0,84617.0
462,3073.0,5805.0,3605.0,46486.0
463,13166.0,26040.0,14817.0,193786.0
464,4162.0,8163.0,4917.0,67299.0
465,4042.0,7489.0,4625.0,55463.0
466,658.0,1210.0,781.0,8959.0
467,1923.0,3229.0,1979.0,20104.0
468,1250.0,2438.0,1595.0,14894.0
469,2248.0,4037.0,2670.0,25462.0
470,13058.0,24660.0,14237.0,170401.0
471,832.0,1494.0,897.0,10809.0
472,21245.0,42338.0,25179.0,328824.0
473,3240.0,5634.0,3672.0,35653.0
474,3044.0,5978.0,3830.0,43692.0
475,1742.0,3188.0,2095.0,20246.0
476,3919.0,6895.0,4575.0,46304.0
477,734.0,1261.0,786.0,9251.0
478,1518.0,2705.0,1715.0,18622.0
479,1800.0,3356.0,2199.0,20567.0
480,1863.0,3431.0,2185.0,24047.0
481,92.0,163.0,136.0,1440.0
482,3842.0,6401.0,4379.0,40352.0
483,1169.0,1937.0,1338.0,15008.0
484,2167.0,4099.0,2461.0,26193.0
485,1030.0,1841.0,1096.0,12336.0
486,5228.0,9718.0,5737.0,66637.0
487,389.0,747.0,445.0,5314.0
488,4473.0,8135.0,5013.0,53879.0
489,1079.0,1961.0,1391.0,12775.0
490,972.0,1813.0,1238.0,11183.0
491,449.0,806.0,501.0,5034.0
492,728.0,1306.0,894.0,9766.0
493,3578.0,6786.0,4132.0,45459.0
494,17106.0,33339.0,19840.0,227688.0
495,6187.0,12183.0,7391.0,92308.0
496,3457.0,6271.0,3834.0,42669.0
497,1165.0,2149.0,1327.0,15539.0
498,2389.0,4643.0,2901.0,34745.0
499,1548.0,2903.0,1912.0,21196.0
500,4621.0,8949.0,5643.0,66352.0
501,6923.0,14313.0,8372.0,93464.0
502,5288.0,10515.0,6561.0,77469.0
503,4511.0,8754.0,5394.0,64927.0
504,35604.0,68827.0,41745.0,587289.0
505,2566.0,4993.0,3009.0,36946.0
506,1494.0,2940.0,1756.0,22382.0
507,12089.0,24707.0,14773.0,172877.0
508,1819.0,3220.0,2030.0,23438.0
509,6742.0,13538.0,8300.0,102589.0
510,6454.0,13449.0,8293.0,98922.0
511,467.0,946.0,543.0,6027.0
512,4803.0,10230.0,6237.0,80009.0
